filename,type,album,contains,doesntcontain,priority
splatune,albumstring,Splatoon ORIGINAL SOUNDTRACK -Splatune- CD,,,0
sonicrush,albumstring,Sonic Rush Original Groove Rush,,,0
sonicforces,albumstring,Sonic Forces Original Soundtrack: A Hero Will Rise,,,0
n64y2k,albumstring,N64Y2K Millennium Trax,,,0
splatune2,albumstring,Splatoon 2 ORIGINAL SOUNDTRACK -Splatune 2-,,,0
soniccolours,albumstring,SONIC COLORS ORIGINAL SOUNDTRACK ViViD SOUND × HYBRiD COLORS,,,0
octotune,titlecontains,,octo,,2
patmat,titlecontains,,Pat & Mat,,2
octotune,albumstring,Splatoon 2 Original Soundtrack - Octotune,,,0
initiald,albumstring,Initial D Best Song Collection 1998-2004 (Disc 1),,,0
sonicfrontiers,titlecontains,,Sonic Frontiers,,2
octotune,albumstring,Splatoon 2 ORIGINAL SOUNDTRACK -Splatune 2-,,,0
soniccd,albumcontains,,Sonic CD,,2
soniccd,titlecontains,,SonicCD,,2
sonicmovie,titlecontains,,Speed me up,,2
mk7,titlecontains,,Mario Kart 7,,2
mkds,titlecontains,,Mario Kart DS,,2
mk8dx,titlecontains,,Mario Kart 8,Booster Course,2
mk8boost,albumcontains,,Mario Kart 8 Deluxe Booster Course Pass,,2
sonicmania,albumcontains,,Sonic Mania,,2
sonicmania,titlecontains,,Sonic Mania,,2
sonicforces,albumcontains,,Sonic Forces,,1
mkwii,albumcontains,,Mario Kart Wii,,1
mkwii,titlecontains,,Mario Kart Wii,,2
mkwii,titlecontains,,MKWii,,2
mkwii,albumcontains,,MKWii,,1
Sonic 06,albumcontains,,Sonic 06,,1
sonic06,albumcontains,,Sonic the Hedgehog,,3
sonicgenerations,albumcontains,,Sonic Generations,,1
sonicgenerations,titlecontains,,Sonic Generations,,2
siivagrounds,albumcontains,,siivagrounds,,1
sonicrushadventure,albumcontains,,sonic rush adventure,,1
sonictruecolours,albumcontains,,Sonic True Colours,,1
3ds,albumcontains,,3DS,,1
initiald,albumcontains,,initial d,,1
sonic1,albumcontains,,Sonic 1,,1
sonic1,titlecontains,,Sonic 1,,2
sonic2,titlecontains,,Sonic 2,,2
sonic2,albumcontains,,Sonic 2,,1
splatoon3fest,albumcontains,,World Premiere,,1
splatoon3,albumcontains,,Splatoon 3,World,1
splatoon3,albumcontains,,Deep Cut Concert,,1
mk64,titlecontains,,Rainbow Road (Restored),,2
mk64,titlecontains,,Setup & Kart Select (Restored),,2
mk64,albumcontains,,Main Theme (Restored),,1
mk64,titlecontains,,Main Theme (Restored),,2
initiald,albumcontains,,EUROBEAT,,1
mk64,titlecontains,,Mario Kart 64,,2
sonicr,albumcontains,,Sonic R,,1
kirby,albumcontains,,Kirby,,1
unity,albumcontains,,thefatrat,,1
sonicdj,albumcontains,,SONIC THE HEDGEHOG DJ,,1
nimona,albumcontains,,nimona,,1
tetris,albumcontains,,tetris,,1
tetris,titlecontains,,tetris,,2
mk8dx,albumcontains,,Mario Kart 8,,1
nightcore,titlecontains,,nightcore,,2
nightcore,albumcontains,,nightcore,,1
sonictruecolours,titlecontains,,sonic,,2
justwhatever,titlecontains,,just... whatever,,2
